                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61692,                 5.0896,                 3.8003,                0.00049,                0.01576,                 0.0004,                0.00012,                0.62838,                 4.3364,                 3.6872,             0.00036742,             0.00036742,             0.00036742
                      2,                 1.2036,                 3.3331,                 2.6312,                0.52369,                0.12266,                0.06871,                0.01766,                 1.4729,                 2.3737,                 2.0941,              0.0007341,              0.0007341,              0.0007341
                      3,                 1.7838,                 2.4763,                 1.9361,                0.52299,                0.19699,                0.08771,                 0.0274,                 2.0616,                 12.162,                 1.7606,              0.0010971,              0.0010971,              0.0010971
                      4,                  2.166,                 2.0197,                 1.6753,                0.59243,                0.25741,                0.18635,                0.06445,                 2.1849,                 2.0389,                 1.6715,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.3969,                 1.7642,                 1.5837,                0.70486,                0.27663,                0.28137,                0.12012,                  2.641,                 1.6205,                 1.4911,              0.0010945,              0.0010945,              0.0010945
                      6,                 2.5665,                 1.6408,                 1.5069,                0.72262,                0.29692,                  0.304,                 0.1346,                 2.8294,                 1.4534,                 1.4192,               0.001089,               0.001089,               0.001089
                      7,                 2.6634,                  1.548,                 1.4787,                0.70257,                 0.2616,                0.27405,                 0.1174,                 2.5242,                 1.9855,                 1.4912,              0.0010835,              0.0010835,              0.0010835
                      8,                 2.7802,                 1.4187,                 1.4213,                0.73386,                0.29704,                0.30491,                 0.1286,                 2.5924,                 1.4757,                 1.4769,               0.001078,               0.001078,               0.001078
                      9,                 2.8528,                 1.3795,                 1.4065,                0.76547,                0.32315,                0.34833,                0.15303,                 2.8633,                 1.3892,                 1.3775,              0.0010725,              0.0010725,              0.0010725
                     10,                 2.8596,                 1.3598,                 1.3796,                0.76249,                0.32252,                0.36521,                0.16724,                 2.9408,                 1.5369,                   1.35,               0.001067,               0.001067,               0.001067
                     11,                 2.9092,                 1.3262,                 1.3542,                 0.8167,                0.36291,                0.44924,                0.20428,                 3.1226,                 1.2465,                 1.2847,              0.0010615,              0.0010615,              0.0010615
                     12,                 2.9439,                 1.2611,                 1.3303,                0.82566,                 0.3833,                 0.5209,                0.24835,                 2.9628,                 1.2315,                 1.3354,               0.001056,               0.001056,               0.001056
