                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62745,                 5.2424,                 3.8224,                 0.0003,                0.01287,                0.00067,                 0.0002,                0.60244,                 4.9004,                 3.8385,             0.00036742,             0.00036742,             0.00036742
                      2,                 1.2288,                 3.3247,                 2.6459,                0.37515,                0.12621,                0.06177,                0.01682,                 1.2571,                  3.259,                  2.407,              0.0007341,              0.0007341,              0.0007341
                      3,                 1.6889,                 2.5063,                 2.0474,                0.54761,                0.16756,                0.10427,                0.03131,                 1.8027,                 2.1576,                 1.8843,              0.0010971,              0.0010971,              0.0010971
                      4,                 2.0191,                 2.1059,                 1.7832,                0.61257,                0.23199,                 0.1622,                0.05599,                 1.9816,                 2.3383,                 1.9087,              0.0010945,              0.0010945,              0.0010945
                      5,                 2.2167,                 1.8965,                 1.7111,                0.64554,                0.21379,                0.18625,                0.07018,                 2.1251,                 2.1418,                 1.8483,              0.0010945,              0.0010945,              0.0010945
                      6,                  2.362,                 1.7665,                  1.628,                0.48954,                0.24373,                0.23764,                0.09587,                 2.3654,                 1.6387,                 1.6443,               0.001089,               0.001089,               0.001089
                      7,                 2.4438,                  1.707,                 1.5999,                 0.7147,                0.25441,                0.26459,                0.10151,                 2.3552,                 1.5916,                 1.5622,              0.0010835,              0.0010835,              0.0010835
                      8,                 2.5616,                 1.5973,                 1.5324,                 0.7253,                0.24922,                0.27165,                0.11515,                 2.4562,                 1.6105,                 1.5798,               0.001078,               0.001078,               0.001078
                      9,                 2.6098,                 1.5415,                 1.5189,                0.73189,                0.27248,                 0.2825,                0.11778,                 2.5341,                 1.5749,                 1.5425,              0.0010725,              0.0010725,              0.0010725
                     10,                 2.5968,                  1.539,                 1.4964,                 0.7869,                0.11869,                0.16232,                 0.0727,                 2.4512,                 3.3733,                 1.6579,               0.001067,               0.001067,               0.001067
                     11,                 2.6255,                 1.5163,                 1.4724,                0.79328,                0.30183,                0.35108,                0.16125,                  2.778,                 1.4987,                 1.4137,              0.0010615,              0.0010615,              0.0010615
                     12,                 2.6561,                 1.4424,                 1.4486,                0.73361,                 0.3089,                0.32278,                0.14405,                 2.6037,                  1.586,                 1.4673,               0.001056,               0.001056,               0.001056
                     13,                 2.7575,                 1.3834,                 1.4302,                0.73493,                0.28227,                0.31449,                0.13992,                 2.6653,                 1.5073,                 1.4233,              0.0010505,              0.0010505,              0.0010505
                     14,                 2.7727,                 1.3648,                 1.3954,                0.82659,                0.32249,                0.42466,                0.20089,                 2.8657,                 1.3205,                  1.412,               0.001045,               0.001045,               0.001045
                     15,                 2.7106,                 1.3892,                 1.4191,                0.80018,                0.30751,                0.35829,                0.16618,                 2.7484,                 1.4326,                  1.398,              0.0010395,              0.0010395,              0.0010395
                     16,                 2.7964,                 1.3157,                 1.3796,                0.81634,                0.30119,                0.42083,                0.19163,                 2.7185,                 1.3953,                 1.4251,               0.001034,               0.001034,               0.001034
                     17,                 2.7804,                 1.3091,                   1.37,                0.80579,                0.31949,                0.38877,                0.17408,                  2.705,                 1.3914,                 1.3826,              0.0010285,              0.0010285,              0.0010285
                     18,                 2.7615,                 1.3079,                 1.3728,                0.68183,                0.41783,                0.43972,                 0.1981,                  2.807,                 1.2733,                 1.3382,               0.001023,               0.001023,               0.001023
                     19,                 2.7929,                 1.2747,                 1.3531,                0.47539,                0.47506,                0.44897,                0.22015,                 2.7466,                 1.3621,                  1.417,              0.0010175,              0.0010175,              0.0010175
                     20,                 2.8573,                 1.2284,                 1.3591,                0.82052,                0.32577,                0.39127,                0.18343,                 2.7608,                 1.3322,                 1.3688,               0.001012,               0.001012,               0.001012
                     21,                 2.8282,                 1.2341,                 1.3295,                0.73035,                0.42617,                0.48141,                0.23338,                 2.8553,                 1.3072,                 1.3338,              0.0010065,              0.0010065,              0.0010065
                     22,                  2.852,                 1.2186,                 1.3606,                0.77122,                0.39996,                0.47503,                0.22061,                 2.8813,                 1.2733,                 1.3205,               0.001001,               0.001001,               0.001001
                     23,                 2.7698,                 1.2098,                 1.3297,                0.55526,                0.45146,                0.50579,                0.23794,                 2.7403,                 1.2717,                 1.3535,             0.00099551,             0.00099551,             0.00099551
                     24,                 2.8443,                 1.1809,                 1.3174,                0.73623,                0.44159,                0.51441,                 0.2524,                 2.8081,                 1.2397,                 1.3403,             0.00099001,             0.00099001,             0.00099001
                     25,                 2.8491,                 1.1826,                 1.3137,                0.77039,                0.41345,                0.47765,                0.23065,                 2.7017,                 1.2823,                 1.3472,             0.00098451,             0.00098451,             0.00098451
                     26,                 2.8157,                  1.176,                 1.3177,                0.59148,                0.42451,                0.49539,                 0.2388,                 2.6249,                 1.2539,                 1.3759,             0.00097901,             0.00097901,             0.00097901
                     27,                 2.8353,                 1.1564,                 1.3031,                0.61976,                0.42303,                0.51504,                0.25649,                 2.8017,                 1.1841,                 1.2885,             0.00097351,             0.00097351,             0.00097351
                     28,                 2.8215,                 1.1383,                 1.2944,                0.80112,                0.47611,                0.54928,                 0.2827,                 2.8521,                 1.1456,                 1.2905,             0.00096801,             0.00096801,             0.00096801
                     29,                  2.859,                 1.1361,                 1.2912,                0.59739,                0.50394,                0.52247,                0.25175,                  2.792,                 1.1712,                 1.3043,             0.00096251,             0.00096251,             0.00096251
                     30,                 2.7885,                 1.1435,                 1.2961,                0.58354,                0.44997,                0.50148,                0.24945,                 2.7782,                 1.2306,                 1.3069,             0.00095702,             0.00095702,             0.00095702
                     31,                 2.8633,                 1.1033,                 1.2776,                0.67476,                0.47397,                0.53381,                0.26751,                 2.8037,                 1.1824,                 1.2926,             0.00095152,             0.00095152,             0.00095152
                     32,                 2.8332,                 1.1118,                 1.2691,                0.69979,                0.45104,                0.52304,                0.25854,                 2.7782,                 1.1737,                  1.313,             0.00094602,             0.00094602,             0.00094602
                     33,                 2.7771,                 1.1195,                 1.2771,                0.58223,                0.44472,                0.50508,                0.23546,                 2.6949,                 1.1421,                 1.3121,             0.00094052,             0.00094052,             0.00094052
                     34,                 2.7703,                 1.0942,                 1.2905,                0.62025,                0.37049,                0.45566,                0.21727,                 2.5831,                 1.2887,                 1.3653,             0.00093502,             0.00093502,             0.00093502
                     35,                 2.8373,                  1.078,                 1.2657,                0.56695,                0.46764,                0.48275,                0.21102,                 2.5196,                 1.2818,                 1.3501,             0.00092952,             0.00092952,             0.00092952
                     36,                 2.8239,                 1.0678,                 1.2721,                0.66746,                0.46212,                0.49501,                0.23691,                 2.5738,                 1.2439,                 1.3643,             0.00092402,             0.00092402,             0.00092402
                     37,                 2.7483,                 1.0822,                 1.2692,                0.68376,                0.46347,                  0.533,                0.27411,                 2.7593,                  1.155,                  1.296,             0.00091852,             0.00091852,             0.00091852
                     38,                 2.7974,                 1.0505,                 1.2639,                  0.694,                0.50873,                0.58168,                0.29742,                 2.6923,                 1.1025,                 1.2846,             0.00091302,             0.00091302,             0.00091302
                     39,                 2.8104,                 1.0471,                 1.2659,                0.65077,                0.53138,                0.57044,                0.27668,                 2.6894,                 1.1243,                 1.2763,             0.00090752,             0.00090752,             0.00090752
                     40,                  2.781,                 1.0484,                 1.2451,                0.71232,                0.51821,                0.57364,                0.28466,                 2.7713,                  1.076,                 1.2591,             0.00090202,             0.00090202,             0.00090202
                     41,                  2.771,                  1.036,                 1.2597,                0.66735,                  0.507,                0.60273,                0.31195,                 2.8218,                 1.0675,                 1.2426,             0.00089652,             0.00089652,             0.00089652
                     42,                 2.7519,                 1.0231,                 1.2457,                0.70349,                0.48972,                0.56154,                0.28921,                 2.6196,                 1.1084,                 1.2739,             0.00089102,             0.00089102,             0.00089102
                     43,                 2.8478,                 1.0084,                 1.2394,                0.69101,                0.51673,                0.58134,                 0.2973,                 2.5959,                 1.0979,                  1.287,             0.00088552,             0.00088552,             0.00088552
                     44,                 2.7788,                 1.0256,                 1.2461,                0.70943,                0.52379,                0.58406,                0.29405,                 2.7071,                  1.077,                 1.2545,             0.00088002,             0.00088002,             0.00088002
                     45,                 2.7861,                0.99791,                 1.2371,                0.68678,                0.57444,                0.61747,                0.32218,                 2.6965,                 1.0456,                 1.2489,             0.00087452,             0.00087452,             0.00087452
                     46,                 2.7726,                 1.0017,                 1.2284,                0.78578,                0.52884,                0.60684,                 0.3037,                 2.5853,                  1.086,                   1.27,             0.00086902,             0.00086902,             0.00086902
                     47,                 2.7483,                 1.0183,                 1.2438,                0.59902,                 0.4702,                0.51612,                0.24261,                 2.4693,                 1.2552,                 1.2923,             0.00086352,             0.00086352,             0.00086352
