                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 3.0899,                0.91478,                 1.1751,                0.68125,                0.61793,                0.66449,                0.34637,                 3.0762,                0.91301,                 1.1513,             0.00092952,             0.00092952,             0.00092952
                     36,                  3.091,                0.91236,                 1.1789,                0.70551,                0.62256,                0.65599,                0.35359,                 3.2509,                 0.8723,                 1.1386,             0.00092402,             0.00092402,             0.00092402
                     37,                 3.0202,                0.92389,                 1.1773,                0.65055,                0.54862,                0.61886,                0.33406,                 3.0774,                0.94892,                 1.1601,             0.00091852,             0.00091852,             0.00091852
                     38,                 3.0612,                0.90443,                 1.1702,                0.71863,                0.59896,                0.65245,                0.34853,                 3.0029,                0.88965,                   1.17,             0.00091302,             0.00091302,             0.00091302
                     39,                 3.0703,                0.89347,                 1.1697,                0.71285,                0.60875,                0.65948,                0.35974,                 3.1351,                0.86456,                 1.1411,             0.00090752,             0.00090752,             0.00090752
                     40,                  3.035,                0.89638,                 1.1585,                0.65845,                0.63489,                0.63493,                0.33619,                 3.0756,                0.88448,                 1.1415,             0.00090202,             0.00090202,             0.00090202
                     41,                 3.0357,                0.87948,                 1.1656,                0.70741,                0.59447,                0.66086,                0.36051,                 3.1057,                0.87872,                 1.1383,             0.00089652,             0.00089652,             0.00089652
                     42,                 3.0173,                0.87514,                 1.1563,                0.71949,                0.61986,                0.65349,                0.35853,                 3.0787,                0.89143,                 1.1427,             0.00089102,             0.00089102,             0.00089102
                     43,                 3.0897,                0.86089,                 1.1541,                0.76636,                0.58836,                0.66686,                0.36411,                 2.9966,                0.90625,                 1.1421,             0.00088552,             0.00088552,             0.00088552
                     44,                 3.0353,                  0.866,                 1.1548,                0.72195,                0.60668,                0.65378,                0.34826,                 2.9764,                 0.8742,                 1.1424,             0.00088002,             0.00088002,             0.00088002
                     45,                 3.0221,                0.85818,                 1.1549,                 0.7204,                0.60913,                 0.6797,                0.36645,                 3.0732,                0.85189,                 1.1276,             0.00087452,             0.00087452,             0.00087452
                     46,                 3.0225,                0.85234,                 1.1447,                0.77375,                 0.6322,                0.70466,                0.37594,                  3.037,                0.83047,                 1.1317,             0.00086902,             0.00086902,             0.00086902
                     47,                  3.005,                0.85509,                 1.1532,                 0.7977,                0.59908,                0.68827,                0.37083,                 3.0441,                0.86264,                 1.1218,             0.00086352,             0.00086352,             0.00086352
                     48,                 3.0426,                0.84347,                 1.1352,                0.74969,                0.68547,                0.71903,                0.38876,                 3.0186,                0.81327,                 1.1281,             0.00085803,             0.00085803,             0.00085803
                     49,                 2.9536,                 0.8497,                 1.1452,                0.77921,                0.66569,                0.72632,                0.39764,                 2.9535,                0.82663,                 1.1404,             0.00085253,             0.00085253,             0.00085253
                     50,                  2.948,                 0.8398,                 1.1464,                0.74334,                0.66327,                0.71242,                0.38717,                 3.0135,                0.82749,                 1.1223,             0.00084703,             0.00084703,             0.00084703
                     51,                 3.0213,                0.81558,                 1.1323,                0.77298,                0.64229,                0.73081,                0.40931,                 3.0322,                0.81728,                 1.1136,             0.00084153,             0.00084153,             0.00084153
                     52,                  2.985,                0.82571,                 1.1302,                0.70237,                0.66747,                  0.683,                0.37599,                 2.9612,                0.82614,                 1.1221,             0.00083603,             0.00083603,             0.00083603
                     53,                 2.9548,                0.81405,                 1.1332,                0.68551,                0.66771,                0.68973,                 0.3789,                   2.94,                0.82992,                  1.123,             0.00083053,             0.00083053,             0.00083053
                     54,                 2.9599,                0.81834,                 1.1274,                0.79898,                0.64492,                0.71501,                0.40132,                 3.0236,                0.79821,                 1.1123,             0.00082503,             0.00082503,             0.00082503
                     55,                 2.9514,                0.81984,                 1.1173,                0.69917,                0.68203,                0.71006,                0.40089,                 3.0062,                0.79889,                   1.11,             0.00081953,             0.00081953,             0.00081953
                     56,                 2.9566,                0.80119,                 1.1181,                0.78433,                0.66142,                0.71612,                0.41323,                 3.0144,                0.79333,                 1.1017,             0.00081403,             0.00081403,             0.00081403
                     57,                 2.9738,                0.78574,                 1.1216,                0.70762,                0.63511,                0.70782,                0.38999,                 2.9316,                0.79566,                 1.1124,             0.00080853,             0.00080853,             0.00080853
                     58,                  2.912,                0.81169,                 1.1236,                0.81143,                 0.6609,                 0.7262,                0.40279,                 2.9464,                0.80907,                 1.1131,             0.00080303,             0.00080303,             0.00080303
                     59,                 2.9431,                0.79649,                 1.1145,                0.78588,                0.70616,                 0.7299,                0.40687,                 2.9321,                0.80793,                 1.1103,             0.00079753,             0.00079753,             0.00079753
                     60,                 2.9573,                0.79023,                 1.1149,                0.79148,                0.67446,                0.73451,                0.41445,                 2.9037,                0.80052,                 1.1043,             0.00079203,             0.00079203,             0.00079203
                     61,                 2.9025,                0.79004,                 1.1107,                0.77029,                0.64598,                0.69997,                0.36169,                 2.7701,                0.85346,                 1.1242,             0.00078653,             0.00078653,             0.00078653
                     62,                 2.9315,                0.78714,                 1.1087,                0.81259,                0.68025,                0.73568,                0.40129,                 2.7222,                0.81676,                 1.1208,             0.00078103,             0.00078103,             0.00078103
